No,Sex,Body site
792,male ,toenail 
793,male ,toenail 
794,male ,toeweb 
795,male ,toeweb 
796,male ,toeweb 
797,male ,toeweb 
798,male ,volar forearm 
799,male ,volar forearm 
800,male ,volar forearm 
801,male ,volar forearm 
802,female ,antecubital fossa 
803,female ,antecubital fossa 
804,female ,antecubital fossa 
805,female ,antecubital fossa 
806,female ,volar forearm 
807,female ,volar forearm 
808,female ,popliteal fossa 
809,female ,popliteal fossa 
810,female ,popliteal fossa 
811,female ,popliteal fossa 
812,female ,nare 
813,female ,nare 
814,female ,antecubital fossa 
815,female ,antecubital fossa 
816,female ,antecubital fossa 
817,female ,antecubital fossa 
818,female ,volar forearm 
819,female ,volar forearm 
820,female ,volar forearm 
821,female ,volar forearm 
822,female ,popliteal fossa 
823,female ,popliteal fossa 
824,female ,popliteal fossa 
825,female ,popliteal fossa 
826,female ,nare 
827,female ,nare 
828,female ,antecubital fossa 
829,female ,antecubital fossa 
830,female ,antecubital fossa 
831,female ,antecubital fossa 
832,female ,volar forearm 
833,female ,volar forearm 
834,female ,volar forearm 
835,female ,volar forearm 
836,female ,popliteal fossa 
837,female ,popliteal fossa 
838,female ,popliteal fossa 
839,female ,popliteal fossa 
840,female ,nare 
841,female ,nare 
842,female ,antecubital fossa 
843,female ,antecubital fossa 
844,female ,volar forearm 
845,female ,volar forearm 
846,female ,volar forearm 
847,female ,volar forearm 
848,female ,popliteal fossa 
849,female ,popliteal fossa 
850,female ,popliteal fossa 
851,female ,popliteal fossa 
852,female ,nare 
853,female ,nare 
854,female ,antecubital fossa 
855,female ,antecubital fossa 
856,female ,antecubital fossa 
857,female ,antecubital fossa 
858,female ,volar forearm 
859,female ,volar forearm 
860,female ,volar forearm 
861,female ,volar forearm 
862,female ,popliteal fossa 
863,female ,popliteal fossa 
864,female ,popliteal fossa 
865,female ,popliteal fossa 
866,male ,antecubital fossa 
867,male ,antecubital fossa 
868,male ,antecubital fossa 
869,male ,antecubital fossa 
870,male ,volar forearm 
871,male ,volar forearm 
872,male ,volar forearm 
873,male ,volar forearm 
874,male ,popliteal fossa 
875,male ,popliteal fossa 
876,male ,popliteal fossa 
877,male ,popliteal fossa 
